UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rondônia,Masculino,62,Parda,12,6000,1.774268264
Rondônia,Masculino,36,Branca,12,3400,1.7411734030000001
Rondônia,Feminino,46,Branca,12,788,1.653608061
Rondônia,Masculino,54,Parda,12,1200,1.7437423840000001
Rondônia,Feminino,51,Parda,12,780,1.727718085
Rondônia,Masculino,37,Branca,12,788,1.733625776
Rondônia,Masculino,22,Parda,11,2000,1.745545114
Rondônia,Masculino,21,Parda,7,1400,1.671334076
Rondônia,Masculino,47,Parda,16,1800,1.5749723869999999
Rondônia,Feminino,38,Parda,6,900,1.684613226
Rondônia,Masculino,69,Branca,1,1182,1.683305087
Rondônia,Masculino,68,Parda,1,600,1.7337439369999998
Rondônia,Masculino,57,Parda,16,4200,1.724617047
Rondônia,Feminino,36,Preta,12,788,1.630642529
Rondônia,Feminino,47,Parda,13,150,1.49652401
Rondônia,Masculino,59,Branca,13,4000,1.8199885880000002
Rondônia,Masculino,53,Parda,16,7000,1.788792734
Rondônia,Feminino,46,Branca,16,1700,1.63075336
Rondônia,Feminino,59,Branca,9,80,1.8402180730000002
Rondônia,Masculino,44,Parda,12,800,1.6374667930000002
Rondônia,Masculino,29,Parda,12,1000,1.8476687269999998
Rondônia,Feminino,50,Parda,6,2000,1.740231338
Rondônia,Feminino,54,Preta,5,788,1.5820481180000001
Rondônia,Feminino,47,Parda,5,870,1.6334586269999998
Rondônia,Masculino,33,Parda,7,1200,1.661903251
Rondônia,Masculino,63,Parda,1,200,1.74140719
Rondônia,Feminino,37,Parda,11,1100,1.796194806
Rondônia,Masculino,61,Preta,5,1000,1.817428265
Rondônia,Masculino,42,Branca,9,2000,1.6695628630000001
Rondônia,Feminino,34,Parda,10,200,1.697745534
Rondônia,Masculino,37,Preta,16,4300,1.758374665
Rondônia,Masculino,39,Branca,12,2000,1.5747769919999999
Rondônia,Masculino,36,Parda,4,1200,1.6742807469999998
Rondônia,Masculino,56,Parda,2,1070,1.628137374
Rondônia,Masculino,59,Branca,6,1000,1.831915196
Rondônia,Masculino,46,Branca,9,800,1.7830989919999998
Rondônia,Masculino,48,Branca,16,5000,1.749381315
Rondônia,Masculino,59,Parda,1,350,1.693126416
Rondônia,Masculino,20,Parda,8,500,1.722843495
Rondônia,Masculino,41,Parda,10,500,1.6918855309999998
Rondônia,Masculino,61,Branca,1,1100,1.8463716719999999
Rondônia,Masculino,27,Branca,12,1200,1.70121296
Rondônia,Feminino,50,Parda,4,788,1.6527956990000001
Rondônia,Masculino,74,Branca,3,1000,1.576525886
Rondônia,Feminino,59,Parda,9,400,1.48963102
Rondônia,Masculino,36,Parda,4,788,1.759130275
Rondônia,Masculino,57,Preta,5,150,1.54189054
Rondônia,Masculino,34,Branca,9,3000,1.6615998969999999
Rondônia,Masculino,40,Parda,12,1300,1.767950664
Rondônia,Masculino,52,Parda,5,200,1.7529759669999998
Rondônia,Masculino,29,Parda,11,788,1.794573155
Rondônia,Feminino,59,Preta,2,250,1.664267692
Rondônia,Masculino,43,Parda,12,1000,1.71799009
Rondônia,Masculino,43,Parda,6,788,1.686677201
Rondônia,Feminino,39,Parda,9,788,1.6625650109999999
Rondônia,Masculino,38,Branca,12,2000,1.803529273
Rondônia,Feminino,27,Preta,1,600,1.632839736
Rondônia,Masculino,36,Branca,12,600,1.608022778
Rondônia,Masculino,56,Parda,8,4500,1.757959655
Rondônia,Masculino,34,Preta,12,1000,1.797798255
Rondônia,Masculino,61,Parda,3,788,1.802870341
Rondônia,Masculino,32,Branca,9,1400,1.822337228
